Time|In_Temp|In_Hum|Out_Temp|Out_Hum|Other_Temp|Other_Hum|No_Tank_Switch
 2020-11-10  12:37:00.937140 |24.7|66.1|25.3|59.4|25.1|63.5|0
 2020-11-10  12:38:01.960610 |24.7|65.2|25.2|59.7|25.1|63.9|0
 2020-11-10  12:39:03.479842 |24.8|64.5|25.2|59.0|25.1|63.4|1
 2020-11-10  12:40:12.674950 |24.8|64.7|25.3|59.2|25.1|63.4|1
 2020-11-10  12:41:16.938229 |24.8|64.4|25.3|59.0|25.1|63.4|1
 2020-11-10  12:42:17.939244 |24.9|64.5|25.3|58.9|25.2|63.4|1
 2020-11-10  12:43:18.267870 |24.8|64.7|25.3|59.5|25.2|63.5|1
 2020-11-10  12:44:25.207072 |24.8|64.8|25.4|59.9|25.2|63.5|1
 2020-11-10  12:45:29.177902 |24.8|65.2|25.3|59.0|25.2|63.7|1
 2020-11-10  12:46:33.537032 |24.9|65.7|25.3|60.5|25.2|66.8|1
 2020-11-10  12:47:35.483144 |24.9|65.6|25.4|59.9|25.3|64.4|1
