Time,In_Temp,In_Hum,Out_Temp,Out_Hum,Other_Temp,Other_Hum,No_Tank_Switch
 2020-11-11  14:01:11.320006 ,23.4,67.7,23.8,63.2,23.8,67.5,0
 2020-11-11  14:01:15.003007 ,23.4,67.8,23.5,63.4,23.5,67.8,1
 2020-11-11  14:01:21.764709 ,23.4,67.7,23.5,63.4,23.5,67.8,1
 2020-11-11  14:01:25.987143 ,23.4,67.6,23.5,63.4,23.5,67.8,1
 2020-11-11  14:01:31.800195 ,23.4,67.7,23.5,63.4,23.5,67.8,1
 2020-11-11  14:01:40.139486 ,23.4,67.7,23.5,63.4,23.5,67.8,1
 2020-11-11  14:01:44.360707 ,23.4,67.7,23.5,63.3,23.5,67.8,1
