Time, Inside  Temperature , Inside  Humidity , Outside  Temperature , Outside  Humidity , Other  Temperature , Other  Humidity , No  of  Tank  Switchs , Cooling  On/Off 
 2020-11-11  20:47:00.992884 ,22.7,66.0,22.8,61.7,22.8,66.0,1,True
 2020-11-11  20:47:05.112976 ,22.8,66.0,22.9,61.7,22.8,66.0,1,True
 2020-11-11  20:47:09.231871 ,22.8,66.0,22.8,61.6,22.8,66.0,1,True
 2020-11-11  20:47:13.350321 ,11.4,3309.8,22.8,61.6,22.8,66.0,1,False
 2020-11-11  20:47:17.473540 ,22.8,65.9,22.8,61.6,22.8,66.0,1,True
 2020-11-11  20:47:34.233717 ,22.8,66.0,22.8,61.6,22.8,66.0,1,True
 2020-11-11  20:47:38.351988 ,22.8,65.9,22.8,61.6,22.9,66.0,1,True
